
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012204                       # Number of seconds simulated (Second)
simTicks                                  12204359832                       # Number of ticks simulated (Tick)
finalTick                                 12204359832                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4140.49                       # Real time elapsed on the host (Second)
hostTickRate                                  2947565                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1146008                       # Number of bytes of host memory used (Byte)
simInsts                                    205522138                       # Number of instructions simulated (Count)
simOps                                      377992995                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    49637                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      91292                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        30107867                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.588493                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.699255                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      100198590                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   51091                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     102627511                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                223260                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             5081106                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         13012970                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1048                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           29980314                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.423163                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.089850                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3000397     10.01%     10.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3250248     10.84%     20.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  4592867     15.32%     36.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4441249     14.81%     50.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4784045     15.96%     66.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4288846     14.31%     81.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3724302     12.42%     93.67% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1245320      4.15%     97.82% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   653040      2.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             29980314                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 860992     52.07%     52.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     52.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     52.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     52.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     52.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     52.07% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     52.07% # attempts to use FU when none available (Count)
