
---------- Begin Simulation Statistics ----------
simSeconds                                   0.168364                       # Number of seconds simulated (Second)
simTicks                                 168364408170                       # Number of ticks simulated (Tick)
finalTick                                168364408170                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 162904.38                       # Real time elapsed on the host (Second)
hostTickRate                                  1033517                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1716972                       # Number of bytes of host memory used (Byte)
simInsts                                   9551181996                       # Number of instructions simulated (Count)
simOps                                    18904842089                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    58631                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     116049                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        11309769                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.145265                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.873160                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       27596301                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   23296                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      23984391                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                126732                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             9838240                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         18497341                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               8596                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           10988316                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.182718                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.026680                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3084197     28.07%     28.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  1723955     15.69%     43.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2001272     18.21%     61.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1486105     13.52%     75.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1040945      9.47%     84.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   779145      7.09%     92.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   508570      4.63%     96.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   224364      2.04%     98.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   139763      1.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             10988316                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  45521     23.79%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    2      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     1      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     23.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   426      0.22%     24.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     24.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                   448      0.23%     24.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   38      0.02%     24.27% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     24.27% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     24.27% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     24.27% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                 430      0.22%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd               13      0.01%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     24.50% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult              23      0.01%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     24.52% # attempts to use FU when none available (Count)
