
---------- Begin Simulation Statistics ----------
simSeconds                                   0.175550                       # Number of seconds simulated (Second)
simTicks                                 175549981614                       # Number of ticks simulated (Tick)
finalTick                                175549981614                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 156823.74                       # Real time elapsed on the host (Second)
hostTickRate                                  1119409                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2179704                       # Number of bytes of host memory used (Byte)
simInsts                                   1789374675                       # Number of instructions simulated (Count)
simOps                                     3087812049                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    11410                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      19690                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        38936238                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.049632                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.952714                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      111121608                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 1297838                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     110005762                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                939422                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            48753400                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         34942451                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            1107171                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           38704871                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.842168                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.540847                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 12153598     31.40%     31.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3130928      8.09%     39.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  3278820      8.47%     47.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  3643859      9.41%     57.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5742884     14.84%     72.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3360589      8.68%     80.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3747932      9.68%     90.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2046544      5.29%     95.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1599717      4.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             38704871                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 117315      1.95%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      1.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd               1706814     28.41%     30.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     30.36% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                 35069      0.58%     30.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     30.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     30.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc              1763879     29.36%     60.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     60.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     60.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     60.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift               61336      1.02%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     61.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     61.33% # attempts to use FU when none available (Count)
