
---------- Begin Simulation Statistics ----------
simSeconds                                   0.506629                       # Number of seconds simulated (Second)
simTicks                                 506629211340                       # Number of ticks simulated (Tick)
finalTick                                506629211340                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 134913.42                       # Real time elapsed on the host (Second)
hostTickRate                                  3755217                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5203520                       # Number of bytes of host memory used (Byte)
simInsts                                   1591659441                       # Number of instructions simulated (Count)
simOps                                     3013714323                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    11798                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      22338                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1670935932                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.222704                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.817860                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3774197334                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                21349823                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3334906783                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              64071401                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1222438741                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       3125836297                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            5957126                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1670245027                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.996657                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.192347                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                693228323     41.50%     41.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                160759505      9.62%     51.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                201164895     12.04%     63.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                186310408     11.15%     74.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                172351113     10.32%     84.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                100904584      6.04%     90.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 94572175      5.66%     96.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 36106350      2.16%     98.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 24847674      1.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1670245027                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               30641424     36.99%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     36.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     36.99% # attempts to use FU when none available (Count)
