
---------- Begin Simulation Statistics ----------
simSeconds                                   0.152708                       # Number of seconds simulated (Second)
simTicks                                 152708495688                       # Number of ticks simulated (Tick)
finalTick                                152708495688                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  41815.75                       # Real time elapsed on the host (Second)
hostTickRate                                  3651937                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2147696                       # Number of bytes of host memory used (Byte)
simInsts                                   1712866874                       # Number of instructions simulated (Count)
simOps                                     2754686689                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    40962                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      65877                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        10193167                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.135750                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.880475                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       19529978                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   42383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      18988782                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 48127                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             2606149                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5348765                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              16832                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           10071319                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.885431                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.326184                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  5069861     50.34%     50.34% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   772195      7.67%     58.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   611749      6.07%     64.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   904272      8.98%     73.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   857312      8.51%     81.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   900255      8.94%     90.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   494918      4.91%     95.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   305814      3.04%     98.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   154943      1.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             10071319                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 115987     50.98%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     50.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     50.98% # attempts to use FU when none available (Count)
