
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045449                       # Number of seconds simulated (Second)
simTicks                                  45449137776                       # Number of ticks simulated (Tick)
finalTick                                 45449137776                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  45273.32                       # Real time elapsed on the host (Second)
hostTickRate                                  1003883                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1875576                       # Number of bytes of host memory used (Byte)
simInsts                                   1101638980                       # Number of instructions simulated (Count)
simOps                                     2075295475                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    24333                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      45839                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        56751790                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.669599                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.493431                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      169185742                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   73947                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     203021077                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                412128                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            12319514                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         28579440                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              21453                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           56322557                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.604614                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.246984                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8329877     14.79%     14.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3367057      5.98%     20.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5435333      9.65%     30.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  8152728     14.48%     44.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 10184488     18.08%     62.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 10046517     17.84%     80.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  4215784      7.49%     88.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  4666255      8.28%     96.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1924518      3.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             56322557                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  81504      0.78%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    6      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      0.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      0.78% # attempts to use FU when none available (Count)
