
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017279                       # Number of seconds simulated (Second)
simTicks                                  17279111178                       # Number of ticks simulated (Tick)
finalTick                                 17279111178                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1554.52                       # Real time elapsed on the host (Second)
hostTickRate                                 11115381                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1307800                       # Number of bytes of host memory used (Byte)
simInsts                                     82766401                       # Number of instructions simulated (Count)
simOps                                      148686027                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53242                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      95647                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        58772488                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.598154                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.625722                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      144209353                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  492437                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     130800529                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                419795                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            66884087                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         77031312                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               1372                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           57971888                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.256275                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.134642                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 17395277     30.01%     30.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  8777904     15.14%     45.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  7987546     13.78%     58.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  7810689     13.47%     72.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5998956     10.35%     82.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4478429      7.73%     90.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3097158      5.34%     95.82% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1762883      3.04%     98.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   663046      1.14%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             57971888                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 429136     30.81%     30.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     30.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                   1502      0.11%     30.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     30.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     30.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     30.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     30.92% # attempts to use FU when none available (Count)
