
---------- Begin Simulation Statistics ----------
simSeconds                                   0.058028                       # Number of seconds simulated (Second)
simTicks                                  58027973052                       # Number of ticks simulated (Tick)
finalTick                                 58027973052                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  26215.65                       # Real time elapsed on the host (Second)
hostTickRate                                  2213486                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1081240                       # Number of bytes of host memory used (Byte)
simInsts                                   1411037747                       # Number of instructions simulated (Count)
simOps                                     2443965376                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53824                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      93225                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          307151                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.336193                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.428047                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         333547                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     952                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        315241                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  4650                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               91791                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           200137                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                355                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             218280                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.444205                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.082756                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   127787     58.54%     58.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    14867      6.81%     65.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    17161      7.86%     73.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    15869      7.27%     80.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    16274      7.46%     87.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    11801      5.41%     93.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     9207      4.22%     97.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     3410      1.56%     99.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     1904      0.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               218280                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   1844     33.85%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     33.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     33.85% # attempts to use FU when none available (Count)
