
---------- Begin Simulation Statistics ----------
simSeconds                                   0.234601                       # Number of seconds simulated (Second)
simTicks                                 234600982056                       # Number of ticks simulated (Tick)
finalTick                                234600982056                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  17519.59                       # Real time elapsed on the host (Second)
hostTickRate                                 13390782                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   11757436                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000469                       # Number of instructions simulated (Count)
simOps                                     1856780719                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57079                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     105983                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       797962525                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.797963                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.253192                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2095370438                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3677499                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2042694808                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               5290420                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           242267952                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        747093226                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             768423                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          788678761                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.590021                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.243295                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                227068909     28.79%     28.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 78051330      9.90%     38.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 89754554     11.38%     50.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                112696012     14.29%     64.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                102035432     12.94%     77.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 84641916     10.73%     88.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 56144532      7.12%     95.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 27460774      3.48%     98.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 10825302      1.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            788678761                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                7246194     24.52%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     24.52% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                98752      0.33%     24.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     24.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     24.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     24.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     24.85% # attempts to use FU when none available (Count)
