
---------- Begin Simulation Statistics ----------
simSeconds                                   0.269898                       # Number of seconds simulated (Second)
simTicks                                 269897599524                       # Number of ticks simulated (Tick)
finalTick                                269897599524                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  57643.54                       # Real time elapsed on the host (Second)
hostTickRate                                  4682183                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1773624                       # Number of bytes of host memory used (Byte)
simInsts                                   1605344210                       # Number of instructions simulated (Count)
simOps                                     2757090858                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    27850                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      47830                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        19367883                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.705502                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.586337                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       36979621                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  248301                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      56271481                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                549347                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            10983851                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         22621360                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              99774                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           19241946                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.924417                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.368694                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4210090     21.88%     21.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  1802941      9.37%     31.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  3196746     16.61%     47.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  2900967     15.08%     62.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  2247895     11.68%     74.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1888581      9.81%     84.44% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1141269      5.93%     90.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   737608      3.83%     94.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1115849      5.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             19241946                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 101208      1.93%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      1.93% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      1.93% # attempts to use FU when none available (Count)
