
---------- Begin Simulation Statistics ----------
simSeconds                                   0.506139                       # Number of seconds simulated (Second)
simTicks                                 506139052482                       # Number of ticks simulated (Tick)
finalTick                                506139052482                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 141522.33                       # Real time elapsed on the host (Second)
hostTickRate                                  3576390                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    6048180                       # Number of bytes of host memory used (Byte)
simInsts                                   1562979763                       # Number of instructions simulated (Count)
simOps                                     2982058433                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    11044                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      21071                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1670000698                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.245592                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.802831                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3845159499                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                21149817                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3357884537                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              69556107                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1320063248                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       3456844481                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            5757120                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1669326012                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.011521                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.217879                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                700657236     41.97%     41.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                153252654      9.18%     51.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                196541195     11.77%     62.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                188247748     11.28%     74.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                155478220      9.31%     83.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                113508959      6.80%     90.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 99219008      5.94%     96.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 37333410      2.24%     98.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 25087582      1.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1669326012                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               31695422     36.45%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                 1216      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Matrix                      0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MatrixMov                   0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MatrixOP                    0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead              34391341     39.55%     76.01% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite             20142062     23.16%     99.17% # attempts to use FU when none available (Count)
