
---------- Begin Simulation Statistics ----------
simSeconds                                   0.107056                       # Number of seconds simulated (Second)
simTicks                                 107056092782                       # Number of ticks simulated (Tick)
finalTick                                107056092782                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7181.75                       # Real time elapsed on the host (Second)
hostTickRate                                 14906683                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1245948                       # Number of bytes of host memory used (Byte)
simInsts                                    817824585                       # Number of instructions simulated (Count)
simOps                                     1397664575                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   113875                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     194613                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       364136371                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.689778                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.591794                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      930737081                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 4716361                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     842731817                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 20473                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           462169297                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        417267742                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               2277                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          363302818                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.319640                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.148155                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                105017485     28.91%     28.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 51827588     14.27%     43.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 52194835     14.37%     57.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 52189924     14.37%     71.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 36192047      9.96%     81.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 32830571      9.04%     90.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 18315934      5.04%     95.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  6747332      1.86%     97.80% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  7987102      2.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            363302818                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1855402     18.95%     18.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     18.95% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                   1342      0.01%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     1      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     18.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                 10058      0.10%     19.06% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                    55      0.00%     19.06% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                  2317      0.02%     19.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                 1017      0.01%     19.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     19.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     19.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     19.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                5653      0.06%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     19.15% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Matrix                      0      0.00%     19.15% # attempts to use FU when none available (Count)
