
---------- Begin Simulation Statistics ----------
simSeconds                                   0.907051                       # Number of seconds simulated (Second)
simTicks                                 907051418070                       # Number of ticks simulated (Tick)
finalTick                                907051418070                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  51407.71                       # Real time elapsed on the host (Second)
hostTickRate                                 17644269                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4243508                       # Number of bytes of host memory used (Byte)
simInsts                                   1545716429                       # Number of instructions simulated (Count)
simOps                                     2925533683                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30068                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      56908                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      3008614210                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.262981                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.441895                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     5382076168                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                34229574                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    4151409384                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              71939375                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          2918469416                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       7628233514                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved           18842139                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         3008217759                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.380023                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.724452                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0               1377341912     45.79%     45.79% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                525965676     17.48%     63.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                440056286     14.63%     77.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                265728459      8.83%     86.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                200328714      6.66%     93.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                100631133      3.35%     96.74% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 59019752      1.96%     98.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 23609890      0.78%     99.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 15535937      0.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           3008217759                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               13132036     27.33%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     27.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     27.33% # attempts to use FU when none available (Count)
