
---------- Begin Simulation Statistics ----------
simSeconds                                   0.059076                       # Number of seconds simulated (Second)
simTicks                                  59075911356                       # Number of ticks simulated (Tick)
finalTick                                 59075911356                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  15822.35                       # Real time elapsed on the host (Second)
hostTickRate                                  3733701                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1314960                       # Number of bytes of host memory used (Byte)
simInsts                                   1124480057                       # Number of instructions simulated (Count)
simOps                                     2055514800                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    71069                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     129912                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         6490835                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.577363                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.732013                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       20806306                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    3840                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      20629475                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 21538                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              526570                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1224037                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                510                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            6388224                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.229297                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.968269                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   776515     12.16%     12.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   549795      8.61%     20.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  1097175     17.17%     37.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   971714     15.21%     53.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1105167     17.30%     70.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1038279     16.25%     86.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   624094      9.77%     96.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   190319      2.98%     99.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    35166      0.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              6388224                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  16101     17.10%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     17.10% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     17.10% # attempts to use FU when none available (Count)
