
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014774                       # Number of seconds simulated (Second)
simTicks                                  14774484312                       # Number of ticks simulated (Tick)
finalTick                                 14774484312                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3759.35                       # Real time elapsed on the host (Second)
hostTickRate                                  3930062                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1120120                       # Number of bytes of host memory used (Byte)
simInsts                                    200509696                       # Number of instructions simulated (Count)
simOps                                      374585170                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53336                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      99641                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        38951215                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.762698                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.311134                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      119466299                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   68655                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     115746267                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               1539363                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            25307742                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         70308603                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              18612                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           38827279                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.981055                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.140865                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  6862936     17.68%     17.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4253730     10.96%     28.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5486808     14.13%     42.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  6329254     16.30%     59.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  6196880     15.96%     75.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4422858     11.39%     86.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3033394      7.81%     94.23% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1502367      3.87%     98.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   739052      1.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             38827279                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 567257     31.05%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     31.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     31.05% # attempts to use FU when none available (Count)
