
---------- Begin Simulation Statistics ----------
simSeconds                                   0.160419                       # Number of seconds simulated (Second)
simTicks                                 160418511330                       # Number of ticks simulated (Tick)
finalTick                                160418511330                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  37748.53                       # Real time elapsed on the host (Second)
hostTickRate                                  4249662                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1598948                       # Number of bytes of host memory used (Byte)
simInsts                                   9607395447                       # Number of instructions simulated (Count)
simOps                                    19168118731                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   254510                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     507784                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        10335827                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.046638                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.955440                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       25235534                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   19069                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      22239355                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 31924                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             7473234                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         13094058                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4369                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           10000323                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.223864                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.024108                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  2614343     26.14%     26.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  1671099     16.71%     42.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  1833679     18.34%     61.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1457669     14.58%     75.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   913712      9.14%     84.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   697414      6.97%     91.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   477172      4.77%     96.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   158939      1.59%     98.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   176296      1.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             10000323                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  30452     27.12%     27.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     27.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     27.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     27.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     27.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    2      0.00%     27.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     27.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     27.13% # attempts to use FU when none available (Count)
