
---------- Begin Simulation Statistics ----------
simSeconds                                   0.095529                       # Number of seconds simulated (Second)
simTicks                                  95529343854                       # Number of ticks simulated (Tick)
finalTick                                 95529343854                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  15398.59                       # Real time elapsed on the host (Second)
hostTickRate                                  6203771                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1845340                       # Number of bytes of host memory used (Byte)
simInsts                                    460405196                       # Number of instructions simulated (Count)
simOps                                      867495307                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    29899                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      56336                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       272819895                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.459687                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.685078                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      375200771                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  165295                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     383821881                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                322358                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            26115016                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         36452530                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              21298                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          272548259                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.408271                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.039568                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                155467495     57.04%     57.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 25309163      9.29%     66.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 20956918      7.69%     74.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 24308713      8.92%     82.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 16074933      5.90%     88.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 14566393      5.34%     94.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  7656065      2.81%     96.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5063976      1.86%     98.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  3144603      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            272548259                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                2005363     56.13%     56.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     56.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     56.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                  150      0.00%     56.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     56.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     56.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     56.13% # attempts to use FU when none available (Count)
