
---------- Begin Simulation Statistics ----------
simSeconds                                   0.075296                       # Number of seconds simulated (Second)
simTicks                                  75296163894                       # Number of ticks simulated (Tick)
finalTick                                 75296163894                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  70335.28                       # Real time elapsed on the host (Second)
hostTickRate                                  1070532                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1296760                       # Number of bytes of host memory used (Byte)
simInsts                                   1099009420                       # Number of instructions simulated (Count)
simOps                                     2034400600                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    15625                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      28924                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         6376168                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.591820                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.689702                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       20806862                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    4079                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      20623425                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 37924                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              997067                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1849417                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                749                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            6276005                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.286075                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.088416                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   878280     13.99%     13.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   297283      4.74%     18.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  1244003     19.82%     38.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   821998     13.10%     51.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1231179     19.62%     71.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  1046598     16.68%     87.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   382180      6.09%     94.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    74516      1.19%     95.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   299968      4.78%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              6276005                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  10747     10.66%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     10.66% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   102      0.10%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     10.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     10.76% # attempts to use FU when none available (Count)
