
---------- Begin Simulation Statistics ----------
simSeconds                                   0.298354                       # Number of seconds simulated (Second)
simTicks                                 298354291410                       # Number of ticks simulated (Tick)
finalTick                                298354291410                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  40634.22                       # Real time elapsed on the host (Second)
hostTickRate                                  7342440                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1280096                       # Number of bytes of host memory used (Byte)
simInsts                                    890464561                       # Number of instructions simulated (Count)
simOps                                     1558380009                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    21914                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      38351                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1014810516                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              3.522035                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.283927                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2552636308                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                12867685                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    1572158424                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              92056238                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1931500697                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       4900255238                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            6437736                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1014191515                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.550159                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.867785                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                444802626     43.86%     43.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                177469028     17.50%     61.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                118926619     11.73%     73.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 97400138      9.60%     82.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 81249674      8.01%     90.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 44047299      4.34%     95.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 34923871      3.44%     98.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 13120753      1.29%     99.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2251507      0.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1014191515                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                2246283      9.43%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%      9.43% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                  7106      0.03%      9.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%      9.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    94      0.00%      9.46% # attempts to use FU when none available (Count)
