
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045209                       # Number of seconds simulated (Second)
simTicks                                  45209202906                       # Number of ticks simulated (Tick)
finalTick                                 45209202906                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  20484.35                       # Real time elapsed on the host (Second)
hostTickRate                                  2207012                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1342652                       # Number of bytes of host memory used (Byte)
simInsts                                   1362422261                       # Number of instructions simulated (Count)
simOps                                     2395711279                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    66510                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     116953                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          295425                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.255721                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.443317                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         306118                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     925                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        291348                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  3055                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               63454                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           112085                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                328                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             205770                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.415892                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.067436                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   123013     59.78%     59.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    12872      6.26%     66.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    13634      6.63%     72.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    17393      8.45%     81.12% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    14181      6.89%     88.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    12328      5.99%     94.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     7281      3.54%     97.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     3565      1.73%     99.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     1503      0.73%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               205770                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   1810     39.32%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     39.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     39.32% # attempts to use FU when none available (Count)
