
---------- Begin Simulation Statistics ----------
simSeconds                                   0.201700                       # Number of seconds simulated (Second)
simTicks                                 201700039758                       # Number of ticks simulated (Tick)
finalTick                                201700039758                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  30384.98                       # Real time elapsed on the host (Second)
hostTickRate                                  6638150                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2582008                       # Number of bytes of host memory used (Byte)
simInsts                                   1605343244                       # Number of instructions simulated (Count)
simOps                                     2757089395                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    52833                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      90739                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        14694956                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.294012                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.772790                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       30976838                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  178522                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      30534982                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                255297                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4911289                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11777336                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              29995                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           14573603                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.095225                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.081440                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4374495     30.02%     30.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2627626     18.03%     48.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2369542     16.26%     64.31% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1729836     11.87%     76.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1592444     10.93%     87.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   657940      4.51%     91.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   570656      3.92%     95.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   313160      2.15%     97.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   337904      2.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             14573603                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 247215     23.96%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     23.96% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     23.96% # attempts to use FU when none available (Count)
