
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013239                       # Number of seconds simulated (Second)
simTicks                                  13239059610                       # Number of ticks simulated (Tick)
finalTick                                 13239059610                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1779.00                       # Real time elapsed on the host (Second)
hostTickRate                                  7441854                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1369568                       # Number of bytes of host memory used (Byte)
simInsts                                    196399247                       # Number of instructions simulated (Count)
simOps                                      372483442                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   110399                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     209378                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        33474564                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.612927                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.631516                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      108403108                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   38294                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     104449932                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 35784                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             7656279                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         20951403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              12719                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           33334676                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.133372                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.989193                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3660527     10.98%     10.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4514076     13.54%     24.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5186356     15.56%     40.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5541808     16.62%     56.71% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5258601     15.78%     72.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4883227     14.65%     87.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  2882395      8.65%     95.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1068677      3.21%     98.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   339009      1.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             33334676                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 537826     41.81%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     41.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     41.81% # attempts to use FU when none available (Count)
