
---------- Begin Simulation Statistics ----------
simSeconds                                   0.088788                       # Number of seconds simulated (Second)
simTicks                                  88788377202                       # Number of ticks simulated (Tick)
finalTick                                 88788377202                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  49365.74                       # Real time elapsed on the host (Second)
hostTickRate                                  1798583                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1466556                       # Number of bytes of host memory used (Byte)
simInsts                                   1543370974                       # Number of instructions simulated (Count)
simOps                                     2664315621                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    31264                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      53971                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          310216                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.342473                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.426899                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         346129                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     930                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        325495                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  2881                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              102604                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           174598                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                333                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             217435                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.496976                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.117605                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   124116     57.08%     57.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    15482      7.12%     64.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    17693      8.14%     72.34% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    17316      7.96%     80.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    15863      7.30%     87.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    11937      5.49%     93.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     8197      3.77%     96.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     4288      1.97%     98.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2543      1.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               217435                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   2304     42.51%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     42.51% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     42.51% # attempts to use FU when none available (Count)
