
---------- Begin Simulation Statistics ----------
simSeconds                                   0.064762                       # Number of seconds simulated (Second)
simTicks                                  64762342344                       # Number of ticks simulated (Tick)
finalTick                                 64762342344                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  39106.04                       # Real time elapsed on the host (Second)
hostTickRate                                  1656070                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1286840                       # Number of bytes of host memory used (Byte)
simInsts                                   1426771694                       # Number of instructions simulated (Count)
simOps                                     2511114848                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36485                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      64213                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          379952                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.287371                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.776777                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         649924                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1329                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        605883                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   730                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              117202                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           232594                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                576                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             288740                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.098369                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.233128                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   115219     39.90%     39.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    29904     10.36%     50.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    31613     10.95%     61.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    32208     11.15%     72.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    26402      9.14%     81.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    22033      7.63%     89.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    21329      7.39%     96.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     7874      2.73%     99.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2158      0.75%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               288740                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   4531     54.68%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     54.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     54.68% # attempts to use FU when none available (Count)
