
---------- Begin Simulation Statistics ----------
simSeconds                                   0.512549                       # Number of seconds simulated (Second)
simTicks                                 512549338518                       # Number of ticks simulated (Tick)
finalTick                                512549338518                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  30787.99                       # Real time elapsed on the host (Second)
hostTickRate                                 16647702                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5101672                       # Number of bytes of host memory used (Byte)
simInsts                                   1645213287                       # Number of instructions simulated (Count)
simOps                                     3031081923                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53437                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      98450                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1688887041                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.186794                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.842606                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3823517002                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                27525282                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3309964404                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               8635905                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1254238570                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       2855285005                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved           12137847                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1685376916                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.963931                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.099884                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                654590673     38.84%     38.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                196739934     11.67%     50.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                233815905     13.87%     64.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                193735861     11.50%     75.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                171234330     10.16%     86.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                108781317      6.45%     92.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 73513638      4.36%     96.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 29262720      1.74%     98.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 23702538      1.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1685376916                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               24445231     48.42%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     48.42% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     48.42% # attempts to use FU when none available (Count)
