
---------- Begin Simulation Statistics ----------
simSeconds                                   0.210588                       # Number of seconds simulated (Second)
simTicks                                 210588418866                       # Number of ticks simulated (Tick)
finalTick                                210588418866                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  30484.85                       # Real time elapsed on the host (Second)
hostTickRate                                  6907969                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2403608                       # Number of bytes of host memory used (Byte)
simInsts                                   1650601646                       # Number of instructions simulated (Count)
simOps                                     2804600568                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    54145                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      92000                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        14837910                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.297487                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.770720                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       31556483                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  178366                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      30865573                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                295770                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             5411025                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         12936183                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              29839                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           14713915                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.097713                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.070565                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4386643     29.81%     29.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2621983     17.82%     47.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2489445     16.92%     64.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1692969     11.51%     76.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1575037     10.70%     86.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   737964      5.02%     91.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   589284      4.00%     95.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   304599      2.07%     97.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   315991      2.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             14713915                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 184182     18.45%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     18.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     18.45% # attempts to use FU when none available (Count)
