
---------- Begin Simulation Statistics ----------
simSeconds                                   0.071983                       # Number of seconds simulated (Second)
simTicks                                  71982872388                       # Number of ticks simulated (Tick)
finalTick                                 71982872388                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  39764.10                       # Real time elapsed on the host (Second)
hostTickRate                                  1810248                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1347832                       # Number of bytes of host memory used (Byte)
simInsts                                   1463014277                       # Number of instructions simulated (Count)
simOps                                     2505934393                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36792                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63020                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          299116                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.265790                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.441347                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         316679                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1055                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        301856                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  3845                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               73072                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           139765                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                458                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             210348                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.435031                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.081549                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   123468     58.70%     58.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    14446      6.87%     65.56% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    16613      7.90%     73.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    15211      7.23%     80.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    15674      7.45%     88.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    11248      5.35%     93.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     8548      4.06%     97.56% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     2793      1.33%     98.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2347      1.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               210348                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   2495     39.67%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     39.67% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     1      0.02%     39.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     2      0.03%     39.72% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     2      0.03%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     39.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     39.75% # attempts to use FU when none available (Count)
