
---------- Begin Simulation Statistics ----------
simSeconds                                   0.132699                       # Number of seconds simulated (Second)
simTicks                                 132698625486                       # Number of ticks simulated (Tick)
finalTick                                132698625486                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  26684.42                       # Real time elapsed on the host (Second)
hostTickRate                                  4972887                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4963404                       # Number of bytes of host memory used (Byte)
simInsts                                   1712872683                       # Number of instructions simulated (Count)
simOps                                     2839581397                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    64190                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     106413                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         8872084                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.988562                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.011570                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       19414655                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   40513                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      18626058                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 26941                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             2488325                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5149511                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              14968                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            7286824                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.556128                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.268644                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  2231047     30.62%     30.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   793628     10.89%     41.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   634321      8.71%     50.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   894836     12.28%     62.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   984401     13.51%     76.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   989816     13.58%     89.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   418112      5.74%     95.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   241380      3.31%     98.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    99283      1.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              7286824                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 114131     49.55%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     49.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                   155      0.07%     49.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     49.61% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                    17      0.01%     49.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     49.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     49.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                  130      0.06%     49.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     49.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     49.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     49.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     49.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     49.68% # attempts to use FU when none available (Count)
