
---------- Begin Simulation Statistics ----------
simSeconds                                   0.288222                       # Number of seconds simulated (Second)
simTicks                                 288222378444                       # Number of ticks simulated (Tick)
finalTick                                288222378444                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  34886.66                       # Real time elapsed on the host (Second)
hostTickRate                                  8261678                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1321544                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1969269258                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28664                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      56448                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       980348227                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.980348                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.020046                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2930132297                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                14439761                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3564650796                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              18229411                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           975302701                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       2050246181                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            6221176                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          980197451                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.636666                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.542256                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                170519140     17.40%     17.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 82025741      8.37%     25.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 98681188     10.07%     35.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                108244771     11.04%     46.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                129304529     13.19%     60.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                142298908     14.52%     74.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 97444054      9.94%     84.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 66281574      6.76%     91.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 85397546      8.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            980197451                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               13037001      6.85%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%      6.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%      6.85% # attempts to use FU when none available (Count)
