
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012468                       # Number of seconds simulated (Second)
simTicks                                  12468438570                       # Number of ticks simulated (Tick)
finalTick                                 12468438570                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7745.77                       # Real time elapsed on the host (Second)
hostTickRate                                  1609709                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1153220                       # Number of bytes of host memory used (Byte)
simInsts                                    204695007                       # Number of instructions simulated (Count)
simOps                                      376800833                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    26427                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      48646                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        31055892                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.607120                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.647122                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      103519232                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   57484                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     112300053                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                187546                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             8371797                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         16196364                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               7441                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           30926023                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.631248                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.166500                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3012975      9.74%      9.74% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3130147     10.12%     19.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  3387903     10.95%     30.82% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5141134     16.62%     47.44% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5077712     16.42%     63.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4517053     14.61%     78.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3808267     12.31%     90.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1581673      5.11%     95.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1269159      4.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             30926023                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 571827     38.02%     38.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     38.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     38.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     38.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     38.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     38.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     38.02% # attempts to use FU when none available (Count)
