
---------- Begin Simulation Statistics ----------
simSeconds                                   0.230596                       # Number of seconds simulated (Second)
simTicks                                 230595899436                       # Number of ticks simulated (Tick)
finalTick                                230595899436                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  14213.98                       # Real time elapsed on the host (Second)
hostTickRate                                 16223179                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    6669568                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000465                       # Number of instructions simulated (Count)
simOps                                     1860138134                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70353                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     130867                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       784339795                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.784340                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.274958                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2102188522                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3720598                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2007938880                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               6857440                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           245771723                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        746158217                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             780082                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          774212265                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.593525                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.266980                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                225353833     29.11%     29.11% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 71406690      9.22%     38.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 88824300     11.47%     49.80% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                126659279     16.36%     66.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 86388966     11.16%     77.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 75537065      9.76%     87.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 58286392      7.53%     94.61% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 28099708      3.63%     98.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 13656032      1.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            774212265                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                8253157     36.31%     36.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     36.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     36.31% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd               150642      0.66%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                    61      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     36.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                391798      1.72%     38.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     38.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    23      0.00%     38.70% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc              1410822      6.21%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     44.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd           551595      2.43%     47.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     47.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp           184389      0.81%     48.14% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     48.14% # attempts to use FU when none available (Count)
