
---------- Begin Simulation Statistics ----------
simSeconds                                   0.528091                       # Number of seconds simulated (Second)
simTicks                                 528090785922                       # Number of ticks simulated (Tick)
finalTick                                528090785922                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 154013.41                       # Real time elapsed on the host (Second)
hostTickRate                                  3428862                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    6047312                       # Number of bytes of host memory used (Byte)
simInsts                                   1538689259                       # Number of instructions simulated (Count)
simOps                                     2957018464                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     9991                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      19200                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1743861893                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.318758                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.758289                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3806866676                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                22460791                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3376415686                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              65712212                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1301558798                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       3508229037                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            7068094                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1743242238                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.936860                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.167162                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                725084089     41.59%     41.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                191778355     11.00%     52.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                220909182     12.67%     65.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                179837463     10.32%     75.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                166684905      9.56%     85.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                104665501      6.00%     91.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 95318464      5.47%     96.62% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 30385563      1.74%     98.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 28578716      1.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1743242238                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               32399998     33.76%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                 1189      0.00%     33.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     33.76% # attempts to use FU when none available (Count)
