
---------- Begin Simulation Statistics ----------
simSeconds                                   0.224834                       # Number of seconds simulated (Second)
simTicks                                 224833872228                       # Number of ticks simulated (Tick)
finalTick                                224833872228                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  17271.08                       # Real time elapsed on the host (Second)
hostTickRate                                 13017938                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1374156                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1965979006                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57900                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     113831                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       764741063                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.764741                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.307632                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2392507358                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 8872608                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2312566591                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              36338410                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           435400947                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       1067108993                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             675569                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          764587459                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.024594                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.246323                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                132116071     17.28%     17.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 88800721     11.61%     28.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                128023803     16.74%     45.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                103144844     13.49%     59.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                111205382     14.54%     73.67% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 82691576     10.82%     84.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 59350024      7.76%     92.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 30136124      3.94%     96.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 29118914      3.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            764587459                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               15885687     22.45%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     22.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     22.45% # attempts to use FU when none available (Count)
