
---------- Begin Simulation Statistics ----------
simSeconds                                   0.433876                       # Number of seconds simulated (Second)
simTicks                                 433876041606                       # Number of ticks simulated (Tick)
finalTick                                433876041606                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  64995.02                       # Real time elapsed on the host (Second)
hostTickRate                                  6675528                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3141284                       # Number of bytes of host memory used (Byte)
simInsts                                   1788383056                       # Number of instructions simulated (Count)
simOps                                     3086375952                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    27516                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      47486                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        83549456                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.252303                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.443990                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      136320327                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 1645019                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     125030137                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              15698125                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            74299299                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        140253402                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            1454352                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           83323006                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.500548                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.969966                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 38194875     45.84%     45.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 17375865     20.85%     66.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  7141336      8.57%     75.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  6365851      7.64%     82.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4985131      5.98%     88.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4284427      5.14%     94.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  2911162      3.49%     97.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1070456      1.28%     98.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   993903      1.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             83323006                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 216404      4.47%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      4.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                804405     16.61%     21.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     21.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                  5642      0.12%     21.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     21.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     21.20% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc              1072507     22.15%     43.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     43.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     43.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     43.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift               11331      0.23%     43.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     43.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     43.59% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     43.59% # attempts to use FU when none available (Count)
