
---------- Begin Simulation Statistics ----------
simSeconds                                   0.093695                       # Number of seconds simulated (Second)
simTicks                                  93695403606                       # Number of ticks simulated (Tick)
finalTick                                 93695403606                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  16343.32                       # Real time elapsed on the host (Second)
hostTickRate                                  5732950                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4442748                       # Number of bytes of host memory used (Byte)
simInsts                                    556338527                       # Number of instructions simulated (Count)
simOps                                     1008774573                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34041                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      61724                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       258540330                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.366078                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.732023                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      395242362                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  157505                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     387885347                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               2603565                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            41156335                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         96893316                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              13508                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          258270277                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.501858                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.092587                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                148702377     57.58%     57.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 16001340      6.20%     63.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 17577935      6.81%     70.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 24779732      9.59%     80.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17867179      6.92%     87.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 17079956      6.61%     93.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  9570783      3.71%     97.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5432053      2.10%     99.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1258922      0.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            258270277                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1522355     39.13%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    1      0.00%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     39.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     39.13% # attempts to use FU when none available (Count)
