
---------- Begin Simulation Statistics ----------
simSeconds                                   0.798354                       # Number of seconds simulated (Second)
simTicks                                 798353616648                       # Number of ticks simulated (Tick)
finalTick                                798353616648                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 124374.79                       # Real time elapsed on the host (Second)
hostTickRate                                  6418935                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1675408                       # Number of bytes of host memory used (Byte)
simInsts                                   1742623370                       # Number of instructions simulated (Count)
simOps                                     3397775630                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    14011                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      27319                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      2715488493                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.558276                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.641735                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     6647878202                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    4112                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    5407821061                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              90616245                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          3250106638                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       7964366519                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               3242                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         2715279213                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.991626                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.048950                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                960970742     35.39%     35.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                370380691     13.64%     49.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                444231198     16.36%     65.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                308775094     11.37%     76.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                246397656      9.07%     85.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                159859637      5.89%     91.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                159616497      5.88%     97.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 40316683      1.48%     99.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 24731015      0.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           2715279213                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               19500010     58.39%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                    13      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     58.39% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                  1526      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                   26      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     58.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     58.40% # attempts to use FU when none available (Count)
