
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014258                       # Number of seconds simulated (Second)
simTicks                                  14258381130                       # Number of ticks simulated (Tick)
finalTick                                 14258381130                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5977.94                       # Real time elapsed on the host (Second)
hostTickRate                                  2385165                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1400920                       # Number of bytes of host memory used (Byte)
simInsts                                    203486114                       # Number of instructions simulated (Count)
simOps                                      379543792                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34039                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63491                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        35735770                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.643321                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.554435                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      112376303                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   38677                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     107219382                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 12986                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            10721712                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         26434622                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              13102                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           35596966                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.012037                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.020310                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4458652     12.53%     12.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  5024570     14.12%     26.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5955382     16.73%     43.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5581091     15.68%     59.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  6132135     17.23%     76.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3772278     10.60%     86.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3081750      8.66%     95.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1068519      3.00%     98.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   522589      1.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             35596966                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 447810     42.69%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     42.69% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     42.69% # attempts to use FU when none available (Count)
