
---------- Begin Simulation Statistics ----------
simSeconds                                   0.044102                       # Number of seconds simulated (Second)
simTicks                                  44101832796                       # Number of ticks simulated (Tick)
finalTick                                 44101832796                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  54231.60                       # Real time elapsed on the host (Second)
hostTickRate                                   813213                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2622872                       # Number of bytes of host memory used (Byte)
simInsts                                   1103348227                       # Number of instructions simulated (Count)
simOps                                     2077231237                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    20345                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      38303                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        56079208                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.659504                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.516290                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      168086995                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   62479                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     163999892                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                650508                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            10793254                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         26349862                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               9973                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           55658201                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.946554                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.002942                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  9000704     16.17%     16.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  5329117      9.57%     25.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 10200796     18.33%     44.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  8009821     14.39%     58.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  9312697     16.73%     75.20% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  8623170     15.49%     90.69% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  2904837      5.22%     95.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1772412      3.18%     99.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   504647      0.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             55658201                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 187482     22.98%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    8      0.00%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     22.98% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     22.98% # attempts to use FU when none available (Count)
