
---------- Begin Simulation Statistics ----------
simSeconds                                   0.054582                       # Number of seconds simulated (Second)
simTicks                                  54582086664                       # Number of ticks simulated (Tick)
finalTick                                 54582086664                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  50139.99                       # Real time elapsed on the host (Second)
hostTickRate                                  1088594                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2000316                       # Number of bytes of host memory used (Byte)
simInsts                                   1101640681                       # Number of instructions simulated (Count)
simOps                                     2028059651                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    21971                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      40448                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        79549436                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.938580                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.065439                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      163084597                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   64442                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     166916827                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               1014348                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            14857411                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         37704243                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              11924                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           79132971                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.109321                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.648325                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 14110892     17.83%     17.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 17690077     22.35%     40.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 18266024     23.08%     63.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 15412269     19.48%     82.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5883524      7.43%     90.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  5375164      6.79%     96.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  1252467      1.58%     98.56% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   607255      0.77%     99.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   535299      0.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             79132971                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  75179      6.92%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    1      0.00%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                   10      0.00%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      6.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      6.92% # attempts to use FU when none available (Count)
