
---------- Begin Simulation Statistics ----------
simSeconds                                   0.120786                       # Number of seconds simulated (Second)
simTicks                                 120785600544                       # Number of ticks simulated (Tick)
finalTick                                120785600544                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  12941.47                       # Real time elapsed on the host (Second)
hostTickRate                                  9333225                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4652952                       # Number of bytes of host memory used (Byte)
simInsts                                    472434077                       # Number of instructions simulated (Count)
simOps                                      895484627                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36505                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      69195                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       325546699                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.637508                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.610684                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      390617515                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  183262                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     416084725                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               1404342                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            19054890                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         25095057                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              40315                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          325271790                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.279191                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.877492                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                179133114     55.07%     55.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 46132478     14.18%     69.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 27832421      8.56%     77.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 27880737      8.57%     86.38% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17480750      5.37%     91.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 10622917      3.27%     95.02% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  8831962      2.72%     97.74% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  4243451      1.30%     99.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  3113960      0.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            325271790                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                2037941     45.37%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    1      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     45.37% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     45.37% # attempts to use FU when none available (Count)
