
---------- Begin Simulation Statistics ----------
simSeconds                                   0.250680                       # Number of seconds simulated (Second)
simTicks                                 250679842056                       # Number of ticks simulated (Tick)
finalTick                                250679842056                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  11273.21                       # Real time elapsed on the host (Second)
hostTickRate                                 22236768                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   11620408                       # Number of bytes of host memory used (Byte)
simInsts                                   1000002503                       # Number of instructions simulated (Count)
simOps                                     1855736477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88706                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     164615                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       852650853                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.852651                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.172813                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2094766314                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 3471321                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    1980110505                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               2630352                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           242505481                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined        663051954                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             623646                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          844431521                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.344904                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.171396                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                251463802     29.78%     29.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                112551075     13.33%     43.11% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                112456381     13.32%     56.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                113865976     13.48%     69.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                101847427     12.06%     81.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 78551533      9.30%     91.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 28764241      3.41%     94.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 31132767      3.69%     98.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 13798319      1.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            844431521                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                7109046     17.00%     17.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     17.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     17.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd               368265      0.88%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     8      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     17.88% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                278898      0.67%     18.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     18.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     18.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc              1040579      2.49%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     21.03% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd           420311      1.00%     22.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     22.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp               53      0.00%     22.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     22.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     22.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     22.04% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult          663208      1.59%     23.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     23.62% # attempts to use FU when none available (Count)
