
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045150                       # Number of seconds simulated (Second)
simTicks                                  45150354984                       # Number of ticks simulated (Tick)
finalTick                                 45150354984                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  44762.63                       # Real time elapsed on the host (Second)
hostTickRate                                  1008662                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1992128                       # Number of bytes of host memory used (Byte)
simInsts                                   1101642598                       # Number of instructions simulated (Count)
simOps                                     2028062824                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    24611                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      45307                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        56674657                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.668688                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.495465                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      159567014                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   61497                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     155806952                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                666995                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            11337007                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         28526774                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               8976                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           56246890                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.770055                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.120652                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  9578501     17.03%     17.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  7974475     14.18%     31.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  9493492     16.88%     48.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 11396385     20.26%     68.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  7050881     12.54%     80.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  3718738      6.61%     87.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3143722      5.59%     93.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2128776      3.78%     96.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1761920      3.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             56246890                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  96744     12.05%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    1      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     12.05% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                   639      0.08%     12.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     1      0.00%     12.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                   234      0.03%     12.16% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                  524      0.07%     12.23% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     12.23% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     12.23% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     12.23% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                 454      0.06%     12.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     12.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     12.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     12.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd               75      0.01%     12.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     12.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     12.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                6      0.00%     12.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     12.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     12.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult             312      0.04%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::Matrix                      0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MatrixMov                   0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MatrixOP                    0      0.00%     12.33% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead                198979     24.79%     37.12% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite               102275     12.74%     49.86% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead           280637     34.96%     84.81% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite          121907     15.19%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdUnitStrideMaskStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdStridedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedLoad             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdIndexedStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdWholeRegisterLoad            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdWholeRegisterStore            0      0.00%    100.00% # attempts to use FU when none available (Count)
