
---------- Begin Simulation Statistics ----------
simSeconds                                   0.133181                       # Number of seconds simulated (Second)
simTicks                                 133180557930                       # Number of ticks simulated (Tick)
finalTick                                133180557930                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  93341.57                       # Real time elapsed on the host (Second)
hostTickRate                                  1426809                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3643376                       # Number of bytes of host memory used (Byte)
simInsts                                   1835011314                       # Number of instructions simulated (Count)
simOps                                     3062537868                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    19659                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      32810                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        32566805                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.873812                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.144410                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       97060992                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  958845                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      95700115                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                135922                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            34841567                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         13398958                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             768226                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           32278495                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.964826                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.464714                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8865631     27.47%     27.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2213249      6.86%     34.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  3172499      9.83%     44.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4489353     13.91%     58.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4720071     14.62%     72.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2453004      7.60%     80.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3080653      9.54%     89.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2227693      6.90%     96.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1056342      3.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             32278495                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 193884      4.32%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                   15      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      4.32% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd               1441103     32.13%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     36.45% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                 45561      1.02%     37.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     37.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     37.47% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc              1704767     38.01%     75.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     75.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     75.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     75.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift               45184      1.01%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     76.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     76.49% # attempts to use FU when none available (Count)
