
---------- Begin Simulation Statistics ----------
simSeconds                                   0.231286                       # Number of seconds simulated (Second)
simTicks                                 231285502896                       # Number of ticks simulated (Tick)
finalTick                                231285502896                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  17381.35                       # Real time elapsed on the host (Second)
hostTickRate                                 13306531                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2514320                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1953277337                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57533                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112378                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       786685385                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.786685                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.271156                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2441052632                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9914870                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2347130740                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              36844881                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           497690100                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       1221522594                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            1696285                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          786529093                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.984163                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.211223                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                137833732     17.52%     17.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 94569356     12.02%     29.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                120644834     15.34%     44.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                123615602     15.72%     60.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                103270670     13.13%     73.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 91012193     11.57%     85.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 60523485      7.70%     93.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 31333413      3.98%     96.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 23725808      3.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            786529093                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               15416880     24.08%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     24.08% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     24.08% # attempts to use FU when none available (Count)
