
---------- Begin Simulation Statistics ----------
simSeconds                                   0.081313                       # Number of seconds simulated (Second)
simTicks                                  81313224636                       # Number of ticks simulated (Tick)
finalTick                                 81313224636                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4229.26                       # Real time elapsed on the host (Second)
hostTickRate                                 19226338                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1786672                       # Number of bytes of host memory used (Byte)
simInsts                                    449975874                       # Number of instructions simulated (Count)
simOps                                      851179419                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   106396                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     201260                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       227817985                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.282316                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.779839                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      348454132                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  175727                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     347778328                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 92029                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            13661700                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         10385689                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              31730                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          187578418                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.854042                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.149907                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 86868593     46.31%     46.31% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 13567997      7.23%     53.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 20002368     10.66%     64.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 22268360     11.87%     76.08% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 20056000     10.69%     86.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 10572419      5.64%     92.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  7738270      4.13%     96.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  4150488      2.21%     98.75% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2353923      1.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            187578418                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1139437     52.84%     52.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     52.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     52.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     52.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     52.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     52.84% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     52.84% # attempts to use FU when none available (Count)
