
---------- Begin Simulation Statistics ----------
simSeconds                                   0.090435                       # Number of seconds simulated (Second)
simTicks                                  90435404598                       # Number of ticks simulated (Tick)
finalTick                                 90435404598                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  13989.75                       # Real time elapsed on the host (Second)
hostTickRate                                  6464404                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4472892                       # Number of bytes of host memory used (Byte)
simInsts                                    458704454                       # Number of instructions simulated (Count)
simOps                                      863282970                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    32789                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      61708                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       258514123                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.383146                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.722990                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      362098864                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  163015                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     375272361                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                258959                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            12972350                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         12118757                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              19018                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          258232356                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.453235                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.071197                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                150216342     58.17%     58.17% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 18525277      7.17%     65.34% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 17554778      6.80%     72.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 21346629      8.27%     80.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 18395625      7.12%     87.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 17103127      6.62%     94.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  8973010      3.47%     97.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  4279098      1.66%     99.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1838470      0.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            258232356                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 882887     24.75%     24.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     24.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     24.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     24.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     24.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     24.75% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     24.75% # attempts to use FU when none available (Count)
