
---------- Begin Simulation Statistics ----------
simSeconds                                   0.088040                       # Number of seconds simulated (Second)
simTicks                                  88039797636                       # Number of ticks simulated (Tick)
finalTick                                 88039797636                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4399.11                       # Real time elapsed on the host (Second)
hostTickRate                                 20013089                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1775444                       # Number of bytes of host memory used (Byte)
simInsts                                    460536026                       # Number of instructions simulated (Count)
simOps                                      867822481                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   104688                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     197272                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       250340439                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.339414                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.746595                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      366967718                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  170790                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     364257981                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                277667                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            17887526                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         20143920                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              26793                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          250026057                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.456880                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.085132                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                145375206     58.14%     58.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 17958729      7.18%     65.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 17848494      7.14%     72.47% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 20467419      8.19%     80.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 17150471      6.86%     87.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 14702283      5.88%     93.39% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 10612977      4.24%     97.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  3874978      1.55%     99.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2035500      0.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            250026057                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1302390     57.90%     57.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     57.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     57.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     57.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     57.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     57.90% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     57.90% # attempts to use FU when none available (Count)
