
---------- Begin Simulation Statistics ----------
simSeconds                                   0.093221                       # Number of seconds simulated (Second)
simTicks                                  93221348892                       # Number of ticks simulated (Tick)
finalTick                                 93221348892                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  14118.19                       # Real time elapsed on the host (Second)
hostTickRate                                  6602924                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1888072                       # Number of bytes of host memory used (Byte)
simInsts                                    538423169                       # Number of instructions simulated (Count)
simOps                                      989646851                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    38137                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      70097                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       257336886                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.416333                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.706049                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      363045433                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  185920                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     370049813                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                549070                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            16591418                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         23172941                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              41923                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          257071554                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.439482                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.117628                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                153198164     59.59%     59.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 15582307      6.06%     65.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 18412299      7.16%     72.82% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 22845892      8.89%     81.70% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 15892880      6.18%     87.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 12866002      5.00%     92.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  9993516      3.89%     96.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  5001346      1.95%     98.72% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  3279148      1.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            257071554                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                1554497     53.85%     53.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     53.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     53.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    3      0.00%     53.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     53.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     53.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     53.85% # attempts to use FU when none available (Count)
