
---------- Begin Simulation Statistics ----------
simSeconds                                   0.080749                       # Number of seconds simulated (Second)
simTicks                                  80748530310                       # Number of ticks simulated (Tick)
finalTick                                 80748530310                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   9852.83                       # Real time elapsed on the host (Second)
hostTickRate                                  8195465                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4741840                       # Number of bytes of host memory used (Byte)
simInsts                                    470612457                       # Number of instructions simulated (Count)
simOps                                      891709587                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    47764                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      90503                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       225442732                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.134274                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.881622                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385999919                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  175843                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     384494670                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                203912                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            13832960                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         12355972                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              32896                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          196438541                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.957328                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.292601                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 92695281     47.19%     47.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 13401316      6.82%     54.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                 18315638      9.32%     63.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                 19996955     10.18%     73.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 16480100      8.39%     81.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 15922667      8.11%     90.01% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 10854554      5.53%     95.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  6366086      3.24%     98.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  2405944      1.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            196438541                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                2537910     74.49%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     3      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                1      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult               1      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMatMultAcc            0      0.00%     74.49% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     74.49% # attempts to use FU when none available (Count)
