
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000054                       # Number of seconds simulated (Second)
simTicks                                     54268872                       # Number of ticks simulated (Tick)
finalTick                                    54268872                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.63                       # Real time elapsed on the host (Second)
hostTickRate                                 85596558                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     999056                       # Number of bytes of host memory used (Byte)
simInsts                                        30290                       # Number of instructions simulated (Count)
simOps                                          59400                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    47767                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      93671                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          184589                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              6.094057                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.164094                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                          99172                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1153                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                         84873                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   175                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               40914                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined            75860                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                628                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples              88031                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.964126                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.737946                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                    60667     68.92%     68.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                     5937      6.74%     75.66% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                     6046      6.87%     82.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                     5079      5.77%     88.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                     4567      5.19%     93.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                     2725      3.10%     96.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     1770      2.01%     98.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                      826      0.94%     99.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                      414      0.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total                88031                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                    213     18.13%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     18.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     18.13% # attempts to use FU when none available (Count)
