
---------- Begin Simulation Statistics ----------
simSeconds                                   0.538383                       # Number of seconds simulated (Second)
simTicks                                 538383194076                       # Number of ticks simulated (Tick)
finalTick                                538383194076                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 100391.09                       # Real time elapsed on the host (Second)
hostTickRate                                  5362859                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5243788                       # Number of bytes of host memory used (Byte)
simInsts                                   1591681375                       # Number of instructions simulated (Count)
simOps                                     3013757383                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    15855                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      30020                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1778368636                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.301317                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.768452                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3957935678                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                22298537                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3463715272                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              75012343                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1407125766                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       3688537731                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            6905840                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1777773511                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.948345                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.180153                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                739534665     41.60%     41.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                193528437     10.89%     52.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                223501735     12.57%     65.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                185678733     10.44%     75.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                164628475      9.26%     84.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                110791414      6.23%     90.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 98459403      5.54%     96.53% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 30285414      1.70%     98.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 31365235      1.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1777773511                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               32126213     33.77%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     33.77% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     33.77% # attempts to use FU when none available (Count)
