
---------- Begin Simulation Statistics ----------
simSeconds                                   0.192787                       # Number of seconds simulated (Second)
simTicks                                 192787096950                       # Number of ticks simulated (Tick)
finalTick                                192787096950                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  23719.18                       # Real time elapsed on the host (Second)
hostTickRate                                  8127898                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2108288                       # Number of bytes of host memory used (Byte)
simInsts                                   1605342495                       # Number of instructions simulated (Count)
simOps                                     2745393700                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    67681                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     115746                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        14752321                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.299064                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.769785                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       30885641                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  185034                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      29799659                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                223216                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4994978                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11949794                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              36507                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           14621785                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.038032                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.064066                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4784758     32.72%     32.72% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2326195     15.91%     48.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  2187795     14.96%     63.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  2087634     14.28%     77.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1355378      9.27%     87.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   741642      5.07%     92.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   552168      3.78%     95.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   297478      2.03%     98.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   288737      1.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             14621785                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 218533     25.35%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     25.35% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     25.35% # attempts to use FU when none available (Count)
