
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048235                       # Number of seconds simulated (Second)
simTicks                                  48235252884                       # Number of ticks simulated (Tick)
finalTick                                 48235252884                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  26099.33                       # Real time elapsed on the host (Second)
hostTickRate                                  1848142                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1289484                       # Number of bytes of host memory used (Byte)
simInsts                                   1399051589                       # Number of instructions simulated (Count)
simOps                                     2475350664                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    53605                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      94843                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          371662                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.273299                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.785361                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         627570                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1348                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        590092                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   891                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               98283                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           198901                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                595                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             279492                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.111302                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.244890                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   112801     40.36%     40.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    27138      9.71%     50.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    29573     10.58%     60.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    31600     11.31%     71.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    25193      9.01%     80.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    22201      7.94%     88.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    21587      7.72%     96.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     7483      2.68%     99.31% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     1916      0.69%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               279492                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   4266     53.34%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     53.34% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     53.34% # attempts to use FU when none available (Count)
