
---------- Begin Simulation Statistics ----------
simSeconds                                   0.221259                       # Number of seconds simulated (Second)
simTicks                                 221259292044                       # Number of ticks simulated (Tick)
finalTick                                221259292044                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  16764.77                       # Real time elapsed on the host (Second)
hostTickRate                                 13197873                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1372128                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1968522836                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    59649                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     117420                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       752582627                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.752583                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.328758                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2372476903                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 8411810                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2295026824                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              34397941                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           412365840                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       1076891882                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             193225                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          752427684                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.050163                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.223043                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                123488206     16.41%     16.41% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                 91960088     12.22%     28.63% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                117941958     15.67%     44.31% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                109330907     14.53%     58.84% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                101000286     13.42%     72.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                102448845     13.62%     85.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 49977394      6.64%     92.52% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 27159634      3.61%     96.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 29120366      3.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total            752427684                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               10023536     15.68%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     15.68% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     15.68% # attempts to use FU when none available (Count)
