
---------- Begin Simulation Statistics ----------
simSeconds                                   0.129909                       # Number of seconds simulated (Second)
simTicks                                 129909003840                       # Number of ticks simulated (Tick)
finalTick                                129909003840                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  46208.59                       # Real time elapsed on the host (Second)
hostTickRate                                  2811361                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1284548                       # Number of bytes of host memory used (Byte)
simInsts                                   1402509154                       # Number of instructions simulated (Count)
simOps                                     2478808250                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    30352                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      53644                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          439951                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.507193                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.663485                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         749191                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1479                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        680707                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  8112                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              220029                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           441773                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                726                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             350516                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.942014                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.086755                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   139522     39.80%     39.80% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    40420     11.53%     51.34% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    45689     13.03%     64.37% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    40987     11.69%     76.06% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    31264      8.92%     84.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    25121      7.17%     92.15% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    19696      5.62%     97.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     5425      1.55%     99.32% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     2392      0.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               350516                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   4608     51.71%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     51.71% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     51.71% # attempts to use FU when none available (Count)
