
---------- Begin Simulation Statistics ----------
simSeconds                                   0.297919                       # Number of seconds simulated (Second)
simTicks                                 297918611634                       # Number of ticks simulated (Tick)
finalTick                                297918611634                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  26777.38                       # Real time elapsed on the host (Second)
hostTickRate                                 11125756                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2509200                       # Number of bytes of host memory used (Byte)
simInsts                                   1000000001                       # Number of instructions simulated (Count)
simOps                                     1953277337                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    37345                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      72945                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1013328612                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.013329                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.986847                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     2891938768                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                 9798751                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    2701113863                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              85011093                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined           948460132                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       2367867365                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            1580166                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1013176494                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.665986                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.202148                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                225091167     22.22%     22.22% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                134598368     13.28%     35.50% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                166770579     16.46%     51.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                144046661     14.22%     66.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                127143920     12.55%     78.73% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                 88187716      8.70%     87.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 69259894      6.84%     94.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 28864782      2.85%     97.12% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 29213407      2.88%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1013176494                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               13885858     19.22%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd                0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     19.22% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                0      0.00%     19.22% # attempts to use FU when none available (Count)
