
---------- Begin Simulation Statistics ----------
simSeconds                                   0.513812                       # Number of seconds simulated (Second)
simTicks                                 513812379864                       # Number of ticks simulated (Tick)
finalTick                                513812379864                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38808.64                       # Real time elapsed on the host (Second)
hostTickRate                                 13239638                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5945252                       # Number of bytes of host memory used (Byte)
simInsts                                   1545680963                       # Number of instructions simulated (Count)
simOps                                     2925515304                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    39828                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      75383                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1694213841                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.274380                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.784695                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     3819140380                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                25436592                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3220595189                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued               5083081                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1346791169                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       3311623687                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved           10049157                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1690675674                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.904916                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.092795                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                692409061     40.95%     40.95% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                186815558     11.05%     52.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                216525011     12.81%     64.81% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                205102619     12.13%     76.94% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                157360243      9.31%     86.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                110106703      6.51%     92.76% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 70374554      4.16%     96.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 32655459      1.93%     98.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 19326466      1.14%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1690675674                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               20231083     42.92%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     42.92% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     42.92% # attempts to use FU when none available (Count)
