
---------- Begin Simulation Statistics ----------
simSeconds                                   0.591612                       # Number of seconds simulated (Second)
simTicks                                 591611995212                       # Number of ticks simulated (Tick)
finalTick                                591611995212                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 146987.87                       # Real time elapsed on the host (Second)
hostTickRate                                  4024903                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2445960                       # Number of bytes of host memory used (Byte)
simInsts                                   1538720423                       # Number of instructions simulated (Count)
simOps                                     2930131330                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    10468                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      19935                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                      1955919720                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.479122                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.676077                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                     4015791151                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                23664161                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                    3493381761                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued              69935955                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined          1538635818                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined       4197280673                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved            8271464                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples         1955464421                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.786472                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.063105                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                840616649     42.99%     42.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                235737000     12.06%     55.04% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                261280424     13.36%     68.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                196109087     10.03%     78.43% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                178092901      9.11%     87.54% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                103911072      5.31%     92.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                 86344626      4.42%     97.27% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                 30219364      1.55%     98.82% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                 23153298      1.18%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total           1955464421                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu               28263305     34.76%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     34.76% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     34.76% # attempts to use FU when none available (Count)
