
---------- Begin Simulation Statistics ----------
simSeconds                                   0.045272                       # Number of seconds simulated (Second)
simTicks                                  45271727004                       # Number of ticks simulated (Tick)
finalTick                                 45271727004                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  30818.99                       # Real time elapsed on the host (Second)
hostTickRate                                  1468956                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1332452                       # Number of bytes of host memory used (Byte)
simInsts                                   1362422342                       # Number of instructions simulated (Count)
simOps                                     2395711460                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    44207                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      77735                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                          293261                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              2.237814                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.446865                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                         309761                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     967                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                        347878                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1595                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined               66958                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103934                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                370                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples             197258                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.763569                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.270283                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   103731     52.59%     52.59% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                    13623      6.91%     59.49% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                    13958      7.08%     66.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                    16375      8.30%     74.87% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    19703      9.99%     84.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    12904      6.54%     91.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                     8641      4.38%     95.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                     4548      2.31%     98.09% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                     3775      1.91%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total               197258                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                   1562     12.41%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     12.41% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     12.41% # attempts to use FU when none available (Count)
