
---------- Begin Simulation Statistics ----------
simSeconds                                   0.044455                       # Number of seconds simulated (Second)
simTicks                                  44454971778                       # Number of ticks simulated (Tick)
finalTick                                 44454971778                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  54654.71                       # Real time elapsed on the host (Second)
hostTickRate                                   813379                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2625576                       # Number of bytes of host memory used (Byte)
simInsts                                   1103352752                       # Number of instructions simulated (Count)
simOps                                     2077240502                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    20188                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      38007                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        56666960                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.666418                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.500559                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      168771709                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   60883                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     165266041                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                779383                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            11476795                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         29264962                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               8383                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           56255903                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.937755                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.986096                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  9204711     16.36%     16.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  5562575      9.89%     26.25% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  9682754     17.21%     43.46% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  7752229     13.78%     57.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                 10775909     19.16%     76.40% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  7898747     14.04%     90.44% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3717101      6.61%     97.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1113722      1.98%     99.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   548155      0.97%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             56255903                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 173461     15.25%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    4      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     15.25% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     15.25% # attempts to use FU when none available (Count)
