
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012492                       # Number of seconds simulated (Second)
simTicks                                  12492307842                       # Number of ticks simulated (Tick)
finalTick                                 12492307842                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3965.94                       # Real time elapsed on the host (Second)
hostTickRate                                  3149898                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1144984                       # Number of bytes of host memory used (Byte)
simInsts                                    206060459                       # Number of instructions simulated (Count)
simOps                                      388412458                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    51958                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      97937                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        30666343                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.600232                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.666023                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      101429612                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   50980                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     100031557                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                347085                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             6325204                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         15853893                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                937                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           30537497                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.275696                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.009903                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3020232      9.89%      9.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3503687     11.47%     21.36% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5068041     16.60%     37.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5178952     16.96%     54.92% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4585097     15.01%     69.93% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4574115     14.98%     84.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3144033     10.30%     95.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   926949      3.04%     98.24% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   536391      1.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             30537497                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 465217     44.78%     44.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     44.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     44.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     44.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     44.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     44.78% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     44.78% # attempts to use FU when none available (Count)
