
---------- Begin Simulation Statistics ----------
simSeconds                                   0.153966                       # Number of seconds simulated (Second)
simTicks                                 153965645862                       # Number of ticks simulated (Tick)
finalTick                                153965645862                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 113974.03                       # Real time elapsed on the host (Second)
hostTickRate                                  1350884                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3563504                       # Number of bytes of host memory used (Byte)
simInsts                                   1835011715                       # Number of instructions simulated (Count)
simOps                                     3062538621                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    16100                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      26870                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        37790231                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              1.013964                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              0.986228                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      101507960                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  961919                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     100002903                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                400058                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            39291592                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         29082720                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             771300                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           37517744                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.665483                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.449852                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                 11093154     29.57%     29.57% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  4106089     10.94%     40.51% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  4277215     11.40%     51.91% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4919759     13.11%     65.03% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4357395     11.61%     76.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2404824      6.41%     83.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  2788734      7.43%     90.48% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2167589      5.78%     96.26% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                  1402985      3.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             37517744                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 103194      1.80%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    8      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%      1.80% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd               1764754     30.76%     32.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     32.56% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                 13310      0.23%     32.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     32.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     0      0.00%     32.79% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc              2151229     37.50%     70.29% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     70.29% # attempts to use FU when none available (Count)
