
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012672                       # Number of seconds simulated (Second)
simTicks                                  12671607564                       # Number of ticks simulated (Tick)
finalTick                                 12671607564                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   8817.26                       # Real time elapsed on the host (Second)
hostTickRate                                  1437136                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1146008                       # Number of bytes of host memory used (Byte)
simInsts                                    210837545                       # Number of instructions simulated (Count)
simOps                                      382898972                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    23912                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      43426                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        31499949                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.615800                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.623903                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      102653207                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                   50821                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     103619532                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                377842                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             7543476                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         19856356                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                778                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           31372045                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              3.302926                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.071857                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  3444547     10.98%     10.98% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  3183789     10.15%     21.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  5221241     16.64%     37.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  5369670     17.12%     54.89% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  4671972     14.89%     69.78% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  4450535     14.19%     83.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3022648      9.63%     93.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  1253344      4.00%     97.60% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   754299      2.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             31372045                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 463167     36.02%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                     2      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                     2      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     36.02% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMatMultAcc              0      0.00%     36.02% # attempts to use FU when none available (Count)
