
---------- Begin Simulation Statistics ----------
simSeconds                                   0.153686                       # Number of seconds simulated (Second)
simTicks                                 153686240904                       # Number of ticks simulated (Tick)
finalTick                                153686240904                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                 111840.58                       # Real time elapsed on the host (Second)
hostTickRate                                  1374155                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4317768                       # Number of bytes of host memory used (Byte)
simInsts                                   2131844260                       # Number of instructions simulated (Count)
simOps                                     3487568511                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    19061                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      31183                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        33322004                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.843088                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.186115                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       99084584                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  956408                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      98700844                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                201796                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            33742419                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11458740                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved             765789                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           33035773                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.987696                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.419236                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  8685005     26.29%     26.29% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2238542      6.78%     33.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  3333797     10.09%     43.16% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  4631704     14.02%     57.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  5188429     15.71%     72.88% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                  2713722      8.21%     81.10% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                  3078409      9.32%     90.42% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                  2222504      6.73%     97.14% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   943661      2.86%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             33035773                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                 163100      3.85%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                   48      0.00%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      3.85% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%      3.85% # attempts to use FU when none available (Count)
